sort_id,kizuna_id,card_id_1,name_1,card_id_2,name_2,condition_1,condition_2,kizuna_title,scenario_id,scenario_sub_id,text,text_data
11,255,52,蒼井 悠斗,105,暁 宗谷+,254,,悪友相見える,1,2,"悠斗「暁、……変身したんだな」
宗谷「悠斗。おお！見ろよ！これで星喰いとだってやれるぜ！」
悠斗「お前、それでいいのか？」
宗谷「何が？」
悠斗「身の危険の事だよ！大型の相手は雑魚とはわけが違うだろ！」
宗谷「あー…まあ、でも強くなったぜ俺？他の連中もスゲエんだぜ！」
悠斗「馬鹿野郎。死ぬかもしれないんだぞ？」
宗谷「んーまあ、んー…でもよ悠斗、俺がやらなきゃ、代わりが出るだろ？」
悠斗「…ああ」
宗谷「俺に戦う力があってよ？でも俺が戦わなくてよ？そんで平一郎とかが戦って、やられて…」
宗谷「そういうのは、やだよなあ。大事な人が居なくなって、俺がやっときゃよかったんだって、そういうのはさ…」
悠斗「それでお前がやられたら同じ事だろ…」
宗谷「おう！だからよ、俺はやられねぇよ！他の奴等も守れるぐらい、強くなってみせるさ！」
悠斗「はぁ……言って聞くようなやつじゃないよなぁ、お前は」",悠斗「暁、……変身したんだな」\n宗谷「悠斗。おお！見ろよ！これで星喰いとだってやれるぜ！」\n悠斗「お前、それでいいのか？」\n宗谷「何が？」\n悠斗「身の危険の事だよ！大型の相手は雑魚とはわけが違うだろ！」\n宗谷「あー…まあ、でも強くなったぜ俺？他の連中もスゲエんだぜ！」\n悠斗「馬鹿野郎。死ぬかもしれないんだぞ？」\n宗谷「んーまあ、んー…でもよ悠斗、俺がやらなきゃ、代わりが出るだろ？」\n悠斗「…ああ」\n宗谷「俺に戦う力があってよ？でも俺が戦わなくてよ？そんで平一郎とかが戦って、やられて…」\n宗谷「そういうのは、やだよなあ。大事な人が居なくなって、俺がやっときゃよかったんだって、そういうのはさ…」\n悠斗「それでお前がやられたら同じ事だろ…」\n宗谷「おう！だからよ、俺はやられねぇよ！他の奴等も守れるぐらい、強くなってみせるさ！」\n悠斗「はぁ……言って聞くようなやつじゃないよなぁ、お前は」
12,256,105,暁 宗谷+,156,蒼井 悠斗+,255,,悪友相見える,1,3,"悠斗「…………」
宗谷「おぉ！？悠斗、お前も変身したのか！遂にやる気になったのか！？」
悠斗「別に。身の安全のために力をつけるのは当然だろ」
宗谷「えー、なんだよ一緒に戦ってくれないのかよ〜？」
悠斗「戦わないとは、言ってない」
宗谷「マジかぁ！いやー楽しみだわ。お前ガキん時は喧嘩っ早かったしキレると手が付けられなかったもんな！」
悠斗「やめろよ昔の話は！良いか？お前らみたいな熱血根性バカ達は先走って自滅するだろう？」
悠斗「そうならん様に見張ってるのが俺の役目だ。手伝ってやるから言う事聞けよ？」
宗谷「フゥ〜！ツンデレー！」
悠斗「尻を叩くな！」",悠斗「…………」\n宗谷「おぉ！？悠斗、お前も変身したのか！遂にやる気になったのか！？」\n悠斗「別に。身の安全のために力をつけるのは当然だろ」\n宗谷「えー、なんだよ一緒に戦ってくれないのかよ〜？」\n悠斗「戦わないとは、言ってない」\n宗谷「マジかぁ！いやー楽しみだわ。お前ガキん時は喧嘩っ早かったしキレると手が付けられなかったもんな！」\n悠斗「やめろよ昔の話は！良いか？お前らみたいな熱血根性バカ達は先走って自滅するだろう？」\n悠斗「そうならん様に見張ってるのが俺の役目だ。手伝ってやるから言う事聞けよ？」\n宗谷「フゥ〜！ツンデレー！」\n悠斗「尻を叩くな！」
13,3,2,柘 勇作,4,御神 朱奈,,,襲来かしまし娘,2,1,"勇作「はーすげえところに来ちまったなあ。俺」
朱奈「先輩ッ！」
勇作「うわーめんどくさいのが来た！」
朱奈「めんどくさいって何なんですか！失敬な」
勇作「なんで御神、お前さんはこんな所にまで着いてきちゃうの」
朱奈「別に先輩追ってきたわけじゃありません！遺留品を調べてたらですね…」
勇作「あ、そうですか。じゃあ俺は関係ないですよね…っと」
朱奈「だからね、それでね。聞いて下さいよ！またあのハゲの戸塚がぁ！」
勇作「まぁた始まった！事務所に押しかけに来る時と変わらんじゃないか！」
朱奈「…それでハゲがお尻を触ってくるもんだからペシッーって！」
勇作「聞いちゃいねえ…」",勇作「はーすげえところに来ちまったなあ。俺」\n朱奈「先輩ッ！」\n勇作「うわーめんどくさいのが来た！」\n朱奈「めんどくさいって何なんですか！失敬な」\n勇作「なんで御神、お前さんはこんな所にまで着いてきちゃうの」\n朱奈「別に先輩追ってきたわけじゃありません！遺留品を調べてたらですね…」\n勇作「あ、そうですか。じゃあ俺は関係ないですよね…っと」\n朱奈「だからね、それでね。聞いて下さいよ！またあのハゲの戸塚がぁ！」\n勇作「まぁた始まった！事務所に押しかけに来る時と変わらんじゃないか！」\n朱奈「…それでハゲがお尻を触ってくるもんだからペシッーって！」\n勇作「聞いちゃいねえ…」
14,4,2,柘 勇作,4,御神 朱奈,3,,襲来かしまし娘,2,2,"朱奈「先輩先輩先輩！」
勇作「あーウルサイ。お前は何時になったら学習するの？俺はもうお前の先輩じゃないの」
朱奈「何を言ってるんですか。警察辞めたって先輩は私の先輩でしょ？先輩こそいつまでウジウジ疲れちゃったよアピールしてるんですか？」
勇作「うわーアーアー聞こえなーい」
朱奈「もうっ…！先輩がいつまでもそんなんだから、私は…」
勇作「ん？私は？」
朱奈「…ッ！うるさい！バカ！間抜け！うんち！知らないッ！」
勇作「こ、子供か…？」",朱奈「先輩先輩先輩！」\n勇作「あーウルサイ。お前は何時になったら学習するの？俺はもうお前の先輩じゃないの」\n朱奈「何を言ってるんですか。警察辞めたって先輩は私の先輩でしょ？先輩こそいつまでウジウジ疲れちゃったよアピールしてるんですか？」\n勇作「うわーアーアー聞こえなーい」\n朱奈「もうっ…！先輩がいつまでもそんなんだから、私は…」\n勇作「ん？私は？」\n朱奈「…ッ！うるさい！バカ！間抜け！うんち！知らないッ！」\n勇作「こ、子供か…？」
15,5,2,柘 勇作,108,御神 朱奈+,4,,襲来かしまし娘,2,3,"朱奈「どうして…どうして、私、ミニスカポリス風なの…？こんな姿先輩に見られたら…」
勇作「・・・・」
朱奈「はぁぅあ！？せ、先輩…」
勇作「ｵﾏｴﾆｿﾝﾅ願望ｶﾞｱｯﾀﾄﾊﾅｧ」
朱奈「ちち違いますよ！その、これは、戦闘服なのです！」
朱奈「そう、こう！逮捕しちゃうわよ！みたいな？あああ、違う違うー」
勇作「いいじゃないか御神。似合ってるぞ。そのコスプレ」
朱奈「コスプレじゃなーーーーい！！！」",朱奈「どうして…どうして、私、ミニスカポリス風なの…？こんな姿先輩に見られたら…」\n勇作「・・・・」\n朱奈「はぁぅあ！？せ、先輩…」\n勇作「ｵﾏｴﾆｿﾝﾅ願望ｶﾞｱｯﾀﾄﾊﾅｧ」\n朱奈「ちち違いますよ！その、これは、戦闘服なのです！」\n朱奈「そう、こう！逮捕しちゃうわよ！みたいな？あああ、違う違うー」\n勇作「いいじゃないか御神。似合ってるぞ。そのコスプレ」\n朱奈「コスプレじゃなーーーーい！！！」
16,6,106,柘 勇作+,108,御神 朱奈+,5,,襲来かしまし娘,2,4,"朱奈「ップークスクス！ップークスクス！」
勇作「・・・・」
朱奈「ぷーくすくす！！！」
勇作「うるせえなあ！もう！」
朱奈「ップー！なんですか先輩！？その格好は！ガンマン？西部劇気取りの流浪のガンマンですか！？」
勇作「気取ってねえよ！」
朱奈「普段は、俺、もう疲れちゃったんだよね…ファッサ〜…みたいなアピールしといて！ガンマン！」
朱奈「ップー！射撃の腕が一流なのはのび太君だけで十分ですよ！じゃ！さよなら！」
勇作「なんだよファッサーって…？あーくそ。ペースが乱れる…」",朱奈「ップークスクス！ップークスクス！」\n勇作「・・・・」\n朱奈「ぷーくすくす！！！」\n勇作「うるせえなあ！もう！」\n朱奈「ップー！なんですか先輩！？その格好は！ガンマン？西部劇気取りの流浪のガンマンですか！？」\n勇作「気取ってねえよ！」\n朱奈「普段は、俺、もう疲れちゃったんだよね…ファッサ〜…みたいなアピールしといて！ガンマン！」\n朱奈「ップー！射撃の腕が一流なのはのび太君だけで十分ですよ！じゃ！さよなら！」\n勇作「なんだよファッサーって…？あーくそ。ペースが乱れる…」
17,7,2,柘 勇作,80,黒破 軍司,,,捨て犬憐れむ目,3,1,"軍司「そこにいるのは柘君か？」
勇作「おっと、あんたは…黒破さんか？」
軍司「如何にも。妙なところで久しい人間と会うな。そういえば君、警察を辞めたらしいな」
勇作「っはは、今じゃしがない私立探偵ですよ。お決まりのパターンですな」
軍司「パターン、ね。…変わったな。覇気がまるで感じられんよ」
勇作「手厳しいなあ。あんたと遣り合ってた時はほんの若造ですよ」
軍司「倦み疲れる程の歳ではないだろう。こんな場所だ、俗世の疲れなど忘れて私に噛み付いて来た力を取り戻せば良いさ。では失敬」
勇作「…ふん、余裕だね黒破軍司。こんなところで何をしてやがるんだ…？」",軍司「そこにいるのは柘君か？」\n勇作「おっと、あんたは…黒破さんか？」\n軍司「如何にも。妙なところで久しい人間と会うな。そういえば君、警察を辞めたらしいな」\n勇作「っはは、今じゃしがない私立探偵ですよ。お決まりのパターンですな」\n軍司「パターン、ね。…変わったな。覇気がまるで感じられんよ」\n勇作「手厳しいなあ。あんたと遣り合ってた時はほんの若造ですよ」\n軍司「倦み疲れる程の歳ではないだろう。こんな場所だ、俗世の疲れなど忘れて私に噛み付いて来た力を取り戻せば良いさ。では失敬」\n勇作「…ふん、余裕だね黒破軍司。こんなところで何をしてやがるんだ…？」
18,8,2,柘 勇作,80,黒破 軍司,7,,捨て犬憐れむ目,3,2,"勇作「黒破さん。あんた今は、宝石商なんかをやってましたね？」
軍司「如何にも。お陰様で順調だよ」
勇作「それで今度は星宝石で商売ですか。そんなことができると？」
軍司「できるさ。我々の世界の宝石が、その媒介となる。現にあちら側で力を振るう者も居る」
勇作「…」
軍司「止めるかね？」
勇作「まさか。自分はもう裁きを下す側の人間ではありませんよ」
軍司「裁きを下すのは司法の役割だ。君の古巣は法の番犬、元々そんな資格はないだろう」
軍司「むしろ法無きこの世界では、一個の人間こそが裁定する資格を持つと言えるんじゃないか？」
勇作「…」
軍司「少し喋りすぎたな。柘君、私を止めたければ遠慮は要らない。何時でもきたまえ」",勇作「黒破さん。あんた今は、宝石商なんかをやってましたね？」\n軍司「如何にも。お陰様で順調だよ」\n勇作「それで今度は星宝石で商売ですか。そんなことができると？」\n軍司「できるさ。我々の世界の宝石が、その媒介となる。現にあちら側で力を振るう者も居る」\n勇作「…」\n軍司「止めるかね？」\n勇作「まさか。自分はもう裁きを下す側の人間ではありませんよ」\n軍司「裁きを下すのは司法の役割だ。君の古巣は法の番犬、元々そんな資格はないだろう」\n軍司「むしろ法無きこの世界では、一個の人間こそが裁定する資格を持つと言えるんじゃないか？」\n勇作「…」\n軍司「少し喋りすぎたな。柘君、私を止めたければ遠慮は要らない。何時でもきたまえ」
19,11,3,鳥谷 茜,63,柱間 黄太,,,鳥申の仲,5,1,"黄太「・・・・・・」
茜「あ、黄太！？あんたもここに！？」
黄太「・・・・・・おめーさあ」
茜「な、なによ」
黄太「・・・・なんでもねーや」
茜「ええええ、なにその思わせぶり！意味わかんない！」
黄太「・・・・やー、まあ、あんまり…騒がしくすんなや？」
茜「んなーー！？ななな、なんだあいつー！はー！」",黄太「・・・・・・」\n茜「あ、黄太！？あんたもここに！？」\n黄太「・・・・・・おめーさあ」\n茜「な、なによ」\n黄太「・・・・なんでもねーや」\n茜「ええええ、なにその思わせぶり！意味わかんない！」\n黄太「・・・・やー、まあ、あんまり…騒がしくすんなや？」\n茜「んなーー！？ななな、なんだあいつー！はー！」
20,12,3,鳥谷 茜,63,柱間 黄太,11,,鳥申の仲,5,2,"茜「っげ、黄太」
黄太「・・・・」
茜「また憎まれ口言う気でしょ！まったくわたしは全然あんたの相手なんかしないんだからね！」
黄太「へえへえ」
茜「くー！あんまりしゃべらなくても憎たらしいヤツ！」
黄太「・・・・あんまり無理すんなよ」
茜「！？」
黄太「空回りすると、痛々しいからな・・・」
茜「んなー！？か、から！？だ、だれが・・・！あ、いない！あのやろー！」",茜「っげ、黄太」\n黄太「・・・・」\n茜「また憎まれ口言う気でしょ！まったくわたしは全然あんたの相手なんかしないんだからね！」\n黄太「へえへえ」\n茜「くー！あんまりしゃべらなくても憎たらしいヤツ！」\n黄太「・・・・あんまり無理すんなよ」\n茜「！？」\n黄太「空回りすると、痛々しいからな・・・」\n茜「んなー！？か、から！？だ、だれが・・・！あ、いない！あのやろー！」
21,13,107,鳥谷 茜+,63,柱間 黄太,12,,鳥申の仲,5,3,"茜「黄太！今日はこっちから来てやったわよ！！」
黄太「へぇ〜…そりゃどうも」
茜「どうよ！私、変身したんだからね！ふっふーんだ。あんたに真似できるかしら！？」
黄太「へえ〜…」
茜「どう？どう？ぐうの音も出ないでしょ？」
黄太「おめえさあ、ガチャガチャ喋るのやめねえか？黙ってりゃそこそこ可愛いんだから」
茜「え…！」
黄太「ははは。そうそう、そのツラだよ。それキープな。静かだし一石二鳥だ。そうしとけや。じゃあな」
茜「…う、く、くそう…なんだか今までで一番の敗北感…」",茜「黄太！今日はこっちから来てやったわよ！！」\n黄太「へぇ〜…そりゃどうも」\n茜「どうよ！私、変身したんだからね！ふっふーんだ。あんたに真似できるかしら！？」\n黄太「へえ〜…」\n茜「どう？どう？ぐうの音も出ないでしょ？」\n黄太「おめえさあ、ガチャガチャ喋るのやめねえか？黙ってりゃそこそこ可愛いんだから」\n茜「え…！」\n黄太「ははは。そうそう、そのツラだよ。それキープな。静かだし一石二鳥だ。そうしとけや。じゃあな」\n茜「…う、く、くそう…なんだか今までで一番の敗北感…」
