main_id,title,message1,orb_comment1,message2,orb_comment2,boss_name,boss_message,message3,orb_comment3
10,腐敗する議事堂,地上に出た一行の前に、この国の政治を司る建造物が神殿の様にそびえ立っていた。しかし荘厳な姿に反し、辺りは臭気で満ちている,マスター。ここには多くの【星喰い】の気配を感じます。中央を突破し、首魁のみを討ちましょう,"…ゴボォ…ゴボ…ゴボ

人の欲望を取り込み、進化した星喰い。その姿が現れたとき、いっそう強い臭気が周囲を包んだ",この星喰いは周囲を浸食しながら成長するタイプのようです。処理を急がねばいけません,卑食の星喰い,…ゴボォ…ゴボ…ゴボ,"ガバアアアア…

力尽きた星喰いは大きく膨れ上がり、沸騰しているかのように激しく泡立ちながら蒸発していった",この形態の星喰いは複数存在するようですね。それに進化も進んでいる…。先を急いだ方が良いでしょう
11,引き裂かれた病院,いつの間にか室内の様子が一変したことに気付く。消毒薬の匂い…全てのものは断裂し破壊されていたが、そこは紛れもなく病院だった,本来ならば人を癒す役割を担っている病院ですが、今は人を蝕む場所と成り果ててしまっているようですね。浄化によって、本来の姿を取り戻させてあげて下さい,"ゲゲ…ゲッゲッゲ…

廊下の曲がり角から、不気味な笑い声が聞こえてくる。次の瞬間、目の前に巨大な星喰いが躍り出てきた",お気を付けください、この星喰いからは…ほんの少しではありますが、知性を感じます。,業食の星喰い,…くわ…くくくく食くくわわくくぅぅうう！,飛び散った星喰いの残骸が、病院の壁や床を汚した。しかしそれらは徐々に色が薄くなり、中から複数のアクアマリンの破片が顔を出した,星喰いが人語を発した事に驚きましたか？驚く事ではありません、彼らは人に憑くものなのですから…
12,蠢く高速道路,人の気配のない高速道路を、水銀塔が冷たく照らしている。走る車の姿は無い。しかしごうごうと響く轟音は鳴り続けている,この先はしばらく、複雑な地形が続きます。道に迷わぬよう、お気をつけ下さい。,遠くで風を斬る音が聞こえる…。音は次第に近づき、それが高速で疾走する星喰いのものだと気づくのに時間はかからなかった。刃のようなアギトがセイバー達に襲いかかる,轢かれたいのでなければ、ここは身を隠しセイバー達に託すべきでしょう。彼らもまた星喰い匹敵する超常の力を得ている筈です,SpeedEater,クォオォオーーーーン！,セイバー達の猛攻に星喰いの体表に細かい亀裂が走る。次の瞬間、自ら速度に耐え切れず星喰いは無数のファイアーアゲートの破片へと姿を変えた,この地にはあの様な星喰いが多く巣食っているようです。再び相見える事もあるでしょう。セイバー達の強化を進めてみては如何でしょうか？
13,咽び泣くトンネル,高速道路は次第に荒れ果てて行く。…闇の中にうっすらと輪郭を現したのはトンネルだった。流れる空気はひんやりと冷たく、風の音は何者かの泣き声のようにも聞こえた,このトンネルを通るしか道はなさそうですね。浄化すれば、多少は不気味さが和らぐかと存じます,"クルゥオオオッッッツオーーーン！！！

天井に潜んでいたのだろうか？目の前に星喰いが舞い降りてきた。ファイヤーアゲートからは炎のようなフレアが立ち上り、まるで挑発しているかのようだ",ダムを飛び越すとは、すさまじい力ですね。しかし感心している場合ではございません。討伐致しましょう。,SpeedDesire,クルゥオオオッッッツオーーーン！！,後塵から吹き上がる炎は消え失せ、後に残ったのは煙と、灰と、ファイアーアゲートの小さな欠片だけだった,闘いの余波で崩落が起きたようですね…。しかし歩みを止めるわけには行きません。それにこの世界に決まった道など無いのですから…
14,狂気の下水道,崩落したトンネルは下水道に繋がっていた。中には羽虫が飛び交い、すさまじい臭気を放つ汚水が流れている。水の中にときどき光が見えるのは、宝石なのだろうか？,マスター、足元にお気をつけ下さい。水の中に引きずりこまれたら、二度と出てくることはできませんよ,"キィィィィッッッッッッンンン！！！

大気を引き裂く音が下水道に響き渡る。水飛沫を捲き上げ、音を追い越すような速度で星喰いが迫り来る！",限界を超えようとする人の願いが産んだ星喰い、その最終形態です。ですがマスター。あなたの願いはそれを越えなければいけません…,SonicBreaker,キィィィィッッッッッッンンン！！！,断末魔を叫び、炎と破片を撒き散らしながらも星喰いは尚疾走していく。しがみつくセイバーが咆哮をあげ渾身の力を込めた時、破裂するように星喰いが弾け飛んだ,過酷な戦いでしたが、やり遂げてくれました。あのセイバーも無事なようです。敵は更に強力になっていきます。戦力の強化が必要になりそうですね
15,破砕した豪華客船,下水道を抜けた一行は赤黒い海に辿り着いた。海岸には破砕した豪華客船が打ち上げられている。船首に飾られた女神像が、半分しかない顔で微笑んでいる,海には魔物が棲むと聞いたことが御座います。確かに、この場所は危険に満ちていますね。お気をつけ下さい,場には不釣合いな、伝説上の獣の像が飾られていた。自然とセイバー達は武器を構え像と対峙する。グリフォン像の目が輝き、石の体躯が動き出した,案の定…というところですね。星の記憶から石は時に伝説上の存在をも模すのです,ストーングリフォン,キシャァアアアアアア！！！,空を切り裂く一撃が翼を貫く。奇声を上げ、星喰いは錐揉み状に赤い海へと落ちていった,止めを刺せなかったのは残念です。彼の者は再びマスターの前に立ち塞がる事でしょう…それまでにセイバー達の力をつけるべきでしょうね
16,汚濁する遊園地,港の向こうに見えた大きな観覧車…無人の遊園地はしかし不気味に駆動し続けていた。雨に打たれたメリーゴーランドで、黒い涙を流す馬が回り続けている,この場所には不思議な気が満ちています。私には分からぬ感情ですが…。さあ、浄化を始めましょう,"ッツキュオオオアアアアアア！！！

雷鳴を背に、ひしゃげたレールの上で巨大な影が翼を開く。紫電を身体に絡みつかせ、鳥獣は空を舞いセイバー達に襲いかかった",研究所に残されていた人の思念を取り込み、高い知能を得たようです。お気を付けください。,カースグリフォン,ッツキュオオオアアアアアア！！！,天空から滑空する星喰いと、雷雨の中で身じろぎ一つしないセイバーが交差する。閃きの後、胴体から切り離されたグリフォンの頭が転がり落ちた,見事な戦いぶりでしたね。これでこの地の障壁は取り除かれました。あの、奇妙な形をした建物に進みましょう
17,欺瞞の放送局,「ON AIR」と書かれた看板が不気味に点滅している。スタジオの扉を開けてみると、首の取れた人形が山のように積まれていた。撮影セットからは煙が上がっている。この場所が炎に包まれるのは時間の問題だろう,あの人形たちは、自らの意思で塵と化したようです。浄化を待っていたのかもしれません…,"ガシャァァァッアアン！！！

天蓋を突き破り、炎に包まれる放送局にグリフォンが現れた。翼はさらに大きく、その瞳がジュエルマスターを捉えると黒い瘴気が湧き上がった",首を切り落とされて尚再生するとは…。申し訳ありませんマスター。私のミスです。…敵は強力ですが、勝って下さい,カオスグリフォン,グォォオオアアッッッッガァァアアアアア！！！！,星喰いが空へと逃げようとした時、追撃が二対の翼を打ち砕いた。落下する巨躯に四方からセイバーが迫る。鈍い音がホールに響き、地面に落ちたのは一つの青い宝石だけだった,あなたと、セイバー達の力は私の想像を越えつつあるようですね…。ありがとうございますマスター。さあ、先を急ぎましょう
18,不浄の廃工場,爆発の跡が生々しい廃工場の中に入ると、腹に響くような轟音がした。どうやら地盤も緩んでいるようだ。全壊する前に、はやくここから抜け出さねば,建物が倒壊するのは時間の問題かと思われます。急いで浄化する必要がありそうですね。,"荒れ果てた室内の奥に、金色の光を発する星喰いが一行を待ち構えていた。歯車が回るような音で、だが間違いなく、星喰いが言葉を発した

「コ、の　星と　人ノ　命運ハ　尽、きタ。全てヲ　終ワラセる」",…………マスター。お気をつけ下さい。彼の者は、我々を知っているようです,ゴルドゴーグ,我ハ　裁、定者…人、ヨ　運命ヲ受ケ入レ、ろ,金色の体は光を失い、次第に土気色へと変わっていった。さらさらと風に吹かれて散ってゆく最中にあってなお、星喰いは弱々しく鳴き続けていた,意志を持つ星喰いが遂に現れましたね…。マスター、あなたの願い。その想いが試される時が来ているようです…
19,崩壊する堰堤,古代エジプトの民もダムを作ったという。どれほどの犠牲の上にそれが作られたのか…。目の前に現れたダムは、まるで号泣しているかのように崩れ落ちていた,土砂の中から、石の声が聞こえます。少し難しいかもしれませんが、マスターならきっとやり遂げられることでしょう。,"水面が金色に揺らいでいる…。水面が一際強く揺らぎ波立つ、金色の星喰いが再びその姿を現した

「人ノ子ヨ　変ワラヌ、者ヨ。我ラ、ハ裁定、ヲ下シタ。ソノ未来、今、遮断　スル」",彼の者は新たな身体を得たようですね…。マスター、あの言葉に心を乱してはなりません,ソウルゴーグ,共存ノ、時ハ今終ワリ、ヲ迎エタ。星、宝ヲ寄越セ…！,輝く石が砕け散り、星喰いの身体がボロボロと崩れていく。何かの言葉を発しながら、星喰いはオーブに手を向け、そして崩れ落ちた,…無駄な事を…。さあ、マスター。先へ急ぎましょう
20,くらやみの神域,赤い鳥居をくぐると、小さな社があった。屋根が腐り、雑草が生い茂っている。灯篭の陰から、くすくす…と笑う声がきこえたような気がした,この場所も、早く浄化しなければ現実世界での悲劇につながるかもしれません。マスター、急いでください,"神域の奥から眩い光が溢れ出している。光輪を背負った星喰いは、さながら神の使いのように、一行に語りかけ始めた…

「人ノ子ヨ、求メル心ヲ与エテモ、オ前達ハ変ワラナカッタ。コノ星ニ残サレタ可能性ハモウ尽キタ。我ラ星ノ子ハ、星喰イヲ開始スル…！」",星の可能性を狭めているのが自分たちだという事に気づかないのですね…。マスターあれが私達の敵、星喰いの正体です,ジャッジメントゴーグ,オーブ、ナゲツ…人ノ子諸共ニ、ココデ滅ボシテクレル…！！！,セイバーの一撃に金色の星喰いが崩れ落ちる。炎が上がる中オーブは星喰いの死骸に近寄っていった。かざした手から蒼い光が放たれると死骸は忽然と消え、後には清浄な石が一欠片だけ残されていた…,星喰い達の行いを、私は阻止しなければなりません。マスター、それにはあなたの力が必要なのです…
21,罪負う研究所,いびつな形の研究所に入ってみると、内部までが螺旋状に渦巻いていた。廊下には割れたガラスやピンセットなどが散乱していて、歩くのが難しいほどだ,技と業が生み出される場所。そう、ここがそうなのね…。マスターお気をつけください。この場に潜む星喰いは、全てを憎んでいます…,"…暗がりに人が立っていた。しかし身の丈はゆうに3mを超え、食い破るように表皮から飛び出たエメラルドが薄い光を放っている。能面のような平たい顔が、憎悪に歪んだ

「こ、ここの身！を！刻まれたたたう、うら恨み！こ　ここで！ははハラは晴らすッ！」",…この地に渦巻く念が、あの星喰いを捻れさせてしまっている…。マスター、あの者に救いを。浄化をお願いします,戮,に人間め！人間め人間め！LMESめ！こここころ殺殺す！,"おおのおのれッ！！！　ふく復讐、を！遂げるまで！きき消えてなるるものかァア！！！　ええエルメスめぇッ

星食いの斬撃が研究所の天井を薙いだ。瓦礫が崩れ落ち土煙が昇る中、人型の星喰いは何処かへと去っていってしまった",あの者を追いましょう。あれは現実世界へと行く可能性があります…現実世界への侵入を許してはなりません
22,囁く人工林,整然と並ぶ木々の中、巨大な破壊の跡が奥へ奥へと続いていた。星喰い『戮』を追うため、一同は歩みを早める…。,あの星喰いを追いましょう。あのようなものを、このままにしておく訳にはいきません…,木々が開くところで、待ち人を待つ様に星喰いは静かに佇んでいた。一行の姿を認め、静かに刃を構える,やはり、人造の………マスター、ここで決着を。彼に、魂の自由を与えて下さい,戮,…………,"静かに膝を折り首を垂れる星喰いに今や剣の一撃が振り下ろされようとしていた。

『…だめっ！』

…少女の声が一瞬の躊躇いを呼び、その一瞬に星喰いは我に返ったように飛びのいた。張り詰めた殺気が戻る中で、しかし動揺の気配も入り混じっている。

『オオオオオオオオ！！！』

怒号が鳴り響く。虚を突く間に、戮は闇の中へと消えていった…。",…仕方ありません。行きましょう。彼とは縁があるようです。再び見える時はそう遠くないでしょう…
23,非業の地下室,『戮』が去った跡、そこにはうっすらと土に透けた鉄扉があった。隠された地下へと続く道。扉を開くと、生温かい風が頬を撫でた…,行きましょう。砕けた魂と石達の声が渦巻く場…貴方たちにも無関係の場ではないのですから…,"通路の先には巨大な半球状の空間があった。球の内側には溝が格子状に刻まれ、その様は鳥籠の中を連想させる

「ぐるるるアアアアア！！！」

籠の中空。野獣の様な声の主は、翼をもった女型の星喰いだった。憎しみに彩られた双眸が大きく見開かれる…！",力を求め罪を犯すのも人の業。…しかし救いもまた人の力です。マスター、あなたの力を…,躙,ぐるるるアアアアアア！！！,"銃弾と矢が翼を撃ち抜き、剣撃と拳が石の装甲を砕く。鳥籠の底に『躙』は崩れ落ちて、オーブの声が浄化による救いを促す。…その時、異変が起きた。

浄化の蒼い光が虹色に拡散し、弾ける電撃のような感触に思わず両腕を引っ込める。閃光と驚きが一同に隙を作り『躙』は地を這う影のようにその場から逃げ出していた。",………あの光、人の力はここまで…。………これは、歓迎すべき事なのでしょうか…
24,星の廃棄所,半球の空間から伸びる螺旋階段を昇って行く。その合間には積荷が重なるだけの無機質な階が続いていた。だが眼を持つ物には見えていた。砕かれた命の残骸が、荷の中で明滅しているのを…,あの光は命の影。もう救う事はできないのです。さあ、先を急ぎましょう…,"女型の星喰い『躙』は荒く息を吐きながら、地に伏していた。天を仰ぎ口を動かすも、その声は聞き取れない。

その時、荷の中の光がざわめく様に揺らぎはじめた。蛍のようにか細い光が宙を漂い、『躙』を包んでいく。千切れた翼と砕かれた表皮は赤く染まりながら変質をはじめていた",…まさか、『強化』？いえ、これは『転生』…？マスター！お気を付け下さい！,躙,オオオオオオオ！！！,"雷と閃光が『躙』を撃ち抜く。赤い影は受け身もとることなく、大地へと叩きつけられた。

『とどめを刺せ！』

少年が槍を構える。だが、そのまま動かない。驚愕に見開いた目で星喰いを見つめ、茫然と這いずり逃げる様を見守るばかりだった。星喰いは螺旋階段の底へ、ゆっくりと落ちて行った…。

『あいつ…泣いてた…』",転生には至らなかったか…。マスター、彼を責めないで下さい。或いはこれで良かったのかもしれません…
