text_id,card_id,chara_name,text,type,type_note
13,2,柘 勇作,よう、君か。丁度良かった君に礼を言いたかったんだ%pいや何、込み入った話ではなくな。くたびれたおっさんが若人を見て力づけられたよ…とかそんな話さ%p正直、残りの人生は処理するだけと思ってたんだけどなぁ。どうも最近疼いてきちまってね、らしからぬ話だよ%pま、それで勝手に礼を言いたくなってね。そういうわけでジュエルマスター。これからもよろしくな,4,親愛度max
14,2,柘 勇作,全く、残りカスのおっさんに吹き込んでくれる…。だが、面白くなってきたよ。いいともやってやるさ！こうだろ？…変身ッ,5,変身
15,2,柘 勇作,君も酔狂なやつだなあ。こんなシケたおっさんと組んでも良い目は出ないぜ？,3,親愛度up
16,2,柘 勇作,捕物は久しぶりだなあ。鈍ってねえと良いけどな…ッ,6,バトル
17,3,鳥谷 茜,,7,強化ベース
18,3,鳥谷 茜,…ほんとはね。最初は怖かったんだ。ワーワー言って誤魔化してたけどね！%pでも皆と一緒にいたら、強がりもだんだんホントになってきたわ。一緒にいてくれて、ありがとね！%pこれからもずっとよろしくね！ジュエルマスター！,4,親愛度max
19,3,鳥谷 茜,う…胸の中が…熱い…！これは、おばあちゃんから貰ったペンダント？力を貸してくれるの？…んっ…熱いっ…来るッ！,5,変身
20,3,鳥谷 茜,うわあ！びっくりした！ええーい、ま、負けないんだからー！,6,バトル
21,3,鳥谷 茜,ここには友達も居るの。私ががんばらなきゃ！だからジュエルマスター、私を連れて行ってね！,3,親愛度up
22,3,鳥谷 茜,よーしこの調子でいこー！:わたしがみんなを守るよ…！:星宝石ってなんなんだろう?,2,浄化時
23,3,鳥谷 茜,わたし頑張るからね！:なんだか良くわからないけど、私にできることなら！:世界を浄化する…はー凄い話だなぁ,1,挨拶
24,3,鳥谷 茜,,8,強化素材
25,4,御神 朱奈,あなた、見た目よりずっと強いのね。警察官になる気はない？:ストレスは溜め込まないのが肝心よ！愚痴ならいつでも聞いてあげるからね？,3,親愛度up
26,4,御神 朱奈,んんっ…すごい風と光…一体何が起ころうとしているの？まさかこれが…私も変身できるの…！？,5,変身
27,4,御神 朱奈,周辺警護は私に任せて！:プロの仕事を見せてあげる:さすがに銃は使っちゃダメよねー,2,浄化時
28,4,御神 朱奈,,7,強化ベース
29,4,御神 朱奈,,8,強化素材
30,4,御神 朱奈,無駄な抵抗はやめなさい！いくわよ…！,6,バトル
31,4,御神 朱奈,警察なんてやってるとね、色んな人を見る事になるわ%p私はまだまだ若輩者だからそんなに偉そうな事言えないけどね、大体分かるのよ。その人の目を見ればね%pあなたは信用できる！最初にそう思ったのよ。まあ、ほんと勘なんだけれど%pでも、この勘に間違いはなかったわね！ふふふ。これからも一緒に頑張りましょうね,4,親愛度max
32,4,御神 朱奈,最近神隠しとかその手の事件多いのよ。ホントに異世界とはねー:変身ヒーローに助けられた！って話もよく聞いた。貴方達の事よね:警察官ならね、誰でも一度は正義の味方に憧れたものなのよ！:2人1組でない刑事はホントは信用しちゃダメ。私?迷子でしたので！,1,挨拶
33,5,紫上 鏡一,君のような真摯で強い人間は珍しい。我が校の教員にも君のような人間が居ればな…,3,親愛度up
34,5,紫上 鏡一,君たちに最初に出会ったのは、生徒達を探して夜の繁華街を奔走していた時だったな%p偶然入った路地の奥が異世界に繋がっているとはな、夢にも思わなかったよ%p神隠しにあった生徒達…何か我々の常識では測れぬ事態が進行しているとは思っていたが…%p私の想定を遥かに越える状況だったよ。正直、この身には余る事態だとも思う%pだがそれでも、生徒達が私を越える超常の力の持ち主だとしても、私は彼らを守りたいんだ%p　ジュエルマスター、私に力を貸してくれ。私は生徒達を守る確かな力が、欲しいんだ…！,4,親愛度max
35,5,紫上 鏡一,超常の力がなくとも、守ってみせる…！,6,バトル
36,5,紫上 鏡一,…感じる。これが力の脈動か。子供達を守る力が得られるのであれば、何も恐れるものはない。力を貸してくれ…,5,変身
37,5,紫上 鏡一,,7,強化ベース
38,5,紫上 鏡一,,8,強化素材
39,5,紫上 鏡一,継続は力なり、さ。続けていこうじゃないか:きっとやり遂げられるさ。強い意志を持って行こう,2,浄化時
40,5,紫上 鏡一,生徒を守るのは教師の務め。だが、この状況は芳しくないな:君の仲間になった生徒はまだマシだ。消えまま子もいるんだ…:この状況を打破したい。私も行かせてくれ,1,挨拶
41,6,後藤田 蒼紫,クカカカ！老骨にはチト厳しいのお？まあ死なん程度にやるかね…！,6,バトル
42,6,後藤田 蒼紫,,8,強化素材
43,6,後藤田 蒼紫,縁ありて我が元に来た、星宝石よ！お前は儂の願いを何と見る？儂の欲望の形を、見せてみるが良い！…さあ、変身じゃ…！,5,変身
44,6,後藤田 蒼紫,ジュエルマスター殿。ワシは君に興味があるぞ。君だけが何故そのような特別な力を得たのか…是非、その謎に迫りたい！,3,親愛度up
45,6,後藤田 蒼紫,ジュエルマスター殿。君はもう気づいているかね？セイバー達の持つ守護石の正体を%pそうだ、これは星宝石だ。人の欲望を吸い、その結果星喰いを産む石と全く同じものだよ%p何故守護石は我々に力を貸し、同じ星宝石を浄化させようとしているのか？興味深いと思わんかね？%p…或いは我々は、既に大きな過ちに手を貸しているのかもしれんなあ。クカカカ！確かめようもないがね！,4,親愛度max
46,6,後藤田 蒼紫,知っているかね?事の発端は約4億5千万年前に遡る…(以下略):…(略)可能性は均衡の力と偏り崩そうとする力が云々！！！(略):…よく言われるのだが、儂は話しが長いのかの?,1,挨拶
47,6,後藤田 蒼紫,浄化か…人の欲望を吸う星宝石から更に力を抜くとは、興味深い…！:あの蠢くものたちが星喰いか?成る程小さく弱い個体もいるのだな,2,浄化時
48,6,後藤田 蒼紫,,7,強化ベース
49,7,紫水 塔子,えーと、なんか良さげな薬品持ってたかなあ？溶ける系溶ける系…,6,バトル
50,7,紫水 塔子,やあジュエルマスター！調子はどうだ？あ、ちょっとまって…よし大丈夫だ%pん？ああ、いや何かアンタと話すとウチの助手の機嫌悪くなるんだよ。何なんだろうなー？%p助手知ってるか？子代っていうヒョロっとしたヤツよ。面白いやつなんだ！仲良くしてやってな？%pさあて研究再開だ！神秘の世界に科学のメスを入れる！フフフ、楽しすぎてやんなっちゃうね！,4,親愛度max
51,7,紫水 塔子,何だ?アタシに用かー?どんな研究でも今なら付き合うぞ?:行くのか？チョット待ってろ助手に仕事押し付けて…あ、居ない！:知らない事が沢山ある。知れる事も沢山ある！楽しいなぁ！,1,挨拶
52,7,紫水 塔子,世に許される唯一の人体実験、それは自分自身を使った実験だ！いくぞー！失敗したら助手、驚くかな？,5,変身
53,7,紫水 塔子,,7,強化ベース
54,7,紫水 塔子,,8,強化素材
55,7,紫水 塔子,浄化かー。一瞬で化学反応が起きて終わるのな。凄いなー！意味わかんないわ！:どの石も違う素材に見えるな。全く絞込みもできなくて困るなーははは。ワクワクしてきたわ,2,浄化時
56,7,紫水 塔子,浄化の力ってやつ、興味深いよな。君も研究対象にするべきかな？,3,親愛度up
57,8,辻村 咲希,あなた、なかなか見込みあるわ！ あっちでも私の下で働かない？:自分に自信を持ちなさい！ マスターがそんなんでどうするの！？,3,親愛度up
58,8,辻村 咲希,い、石が光った！？ なんなの！？ どんどん、闘志がわいてくるわ……！私に【やれ】って？はは、言われなくてもーっ！,5,変身
59,8,辻村 咲希,こんなにガッツがあるとは思わなかった。あっちでもあなたみたいな人と働きたいわ！%pあなたといっしょで、よかった……。私、本当にそう思ってるのよ。%pあなたのそのスキル、あっちでも十分通用するわよ！ 自信を持って！,4,親愛度max
60,8,辻村 咲希,出かける時間? さ、やるわよ！:今日も精いっぱい、駆け抜けますか！:さて、今日も頑張りますか！,1,挨拶
61,8,辻村 咲希,,7,強化ベース
62,8,辻村 咲希,,8,強化素材
63,8,辻村 咲希,悩む前に、手を動かす！社会人の作法よ！浄化に集中しましょう！:結果を残さなきゃ意味がないわ！さあ、浄化して！:浄化のパフォーマンスを、限界まで引き出すのよ！,2,浄化時
64,8,辻村 咲希,私と張り合えると思ってるの！？,6,バトル
65,9,雨宮 優羽,いや〜、僕は、治療する人間ですから…こういうのはちょっと…:校医としては心が痛みますよ…,6,バトル
66,9,雨宮 優羽,はわわわ、一体、何が起こるんだい？尋常じゃないほど光っているけど、だ、大丈夫かな？わわわ…！,5,変身
67,9,雨宮 優羽,君、今日の体調はどうだい?:生徒たちは今頃怯えて泣いているんじゃないか?…心配だなぁ:えーと、あーと、あれ?道がわからなくなってきた…,1,挨拶
68,9,雨宮 優羽,体調管理はしてるかい？君はリーダーなんだからね、元気でいてもらわなくちゃ:君が居てくれると、生徒たちも安心すると思うんだ…。情けないけど、僕も頼りにしてるよ,3,親愛度up
69,9,雨宮 優羽,君はさしずめ、星宝石のお医者さん…というところかな?:みんな〜、足元には充分に気をつけるんだよ〜?,2,浄化時
70,9,雨宮 優羽,君は随分みんなに慕われているね。すごく人望があるよねえ！%p僕は、どうもーなんか、こう、人望が無くてね〜…ははは…%p同僚や生徒たちからも、優柔不断で頼りない…ってよく言われちゃってるんだ%pいつかぼくも、君のように『優しくて強い人間』になりたいものだよ,4,親愛度max
71,9,雨宮 優羽,,7,強化ベース
72,9,雨宮 優羽,,8,強化素材
73,10,花織 雫,やーやーマスター元気かなー？私は元気だぜー！%pへへへーマスターのお陰で雫、迷子→餓死！→地縛霊！！！の流れを回避できたよね。ありがとね！%pこれからもよろしくね。わたしが迷子そして地縛霊にならぬようにね…！,4,親愛度max
74,10,花織 雫,やージュエルマスターさん！今日もいかしてるヨーひゅーひゅー！:はいよーセイバーッ！…馬みたいだねー:私も変身したいなーそしたらボンッキュッボン！になるって寸法です！:雫、変身したらドリル欲しいな。ドリル,1,挨拶
75,10,花織 雫,みんな！とつげきー！go！いけーやれー（私以外！）:ちっちゃなわたしを殴るのですか！？鬼畜！,6,バトル
76,10,花織 雫,おおおおお？まぶしいですよ！？変身、変身きたよこれー！みんな！ちゅうもーーく！ニュー！花織雫だー！,5,変身
77,10,花織 雫,てくてく、てくてく、てくのろじ〜:わたしがしっかり歩いてると思ったら大間違いですよ:浄化！シュピーン！バーン！たはー！わたし、なにもやってないけど！:じょ・じょ・浄化だ、上客だ〜♪ カモだぜカモ〜,2,浄化時
78,10,花織 雫,わたしと仲良くすると、お得です！10%off！,3,親愛度up
79,10,花織 雫,,7,強化ベース
80,10,花織 雫,,8,強化素材
81,11,水代 香蓮,あなたがいたら、百人力ね♪ 私も安心してお手伝いできるな%p私の幼馴染たちも、あなたみたいに強くなってくれるといいんだけどなぁ。%p二人とも喧嘩ばっかりしてて、可愛いんだけれどね…こんな事聞いたら怒るかな？%pでも、あの子達は二人とも頑張り屋だから…すぐ見違えちゃうかもしれないな。%pそれじゃあ私は、あなた強さの秘密を調べちゃおうかな！ふふっ、これからもよろしくね♪,4,親愛度max
82,11,水代 香蓮,今日は調子よさそうね♪ 頼りにしてるわよー:なんだか素敵な予感がするさあ、出かけましょ？:今日もいっしょに行きましょ？どこに行く？,1,挨拶
83,11,水代 香蓮,やだぁそんなに怖い顔しないで？,6,バトル
84,11,水代 香蓮,あ、やだ…私どうなっちゃうの？ なんだか、体が熱くなっちゃう感じ……だめ、恥ずかしい……！,5,変身
85,11,水代 香蓮,,7,強化ベース
86,11,水代 香蓮,,8,強化素材
87,11,水代 香蓮,私、応援してるわー！頑張れー！ファイトファイト〜♪:浄化ってなかなか面白いな。ねぇ、もっと見せてくれる？:えっ？私も戦うの？できるかなぁ？,2,浄化時
88,11,水代 香蓮,最近、調子いいみたいだね！頼りがい感じちゃうなー♪:ココでの暮らし、結構楽しくなってきちゃった！あなたのおかげかな？うふふ,3,親愛度up
89,12,赤松 重吾,根性ォォォーー！！！生身だろうがなぁ、いったるわー！！！,6,バトル
90,12,赤松 重吾,俺っちは今度は間違えねえ！こんな俺に付き合ってくれたあんたへの恩義、絶対に返すぜ！変身だオラァアアアア！！！,5,変身
91,12,赤松 重吾,,7,強化ベース
92,12,赤松 重吾,,8,強化素材
93,12,赤松 重吾,オオッス！準備はできてる！何時でも良いぜマスター！:よーしやったろうじゃん！:半端にしなきゃ、できるよな！,1,挨拶
94,12,赤松 重吾,あんたの背中は俺っちが守る！任せてくれよぉ！:今度は、今度は半端には終わらねえ！っこいやぁ！石コロどもがぁ！:…ところで浄化って何やってんだ?,2,浄化時
95,12,赤松 重吾,…言いたがねえが、俺っちは…半端もんだよな。そいつぁ、俺が一番分かってる%p親父の仕事は継ぎたくねえ、学校はつまんねえ、働きたくもねえ！幼馴染の珊瑚みてえに得意なもんも、好きなもんねえ…%p自慢といやあこのリーゼントぐらいしかねえ！…そんな俺を拾ってくれたアンタにゃ感謝してんだ%pでもよぅ、まだまだなんだ。まだ何もできえねえ。だから、俺っちはアンタに恩を返すことで、漢になりてえって思った！%pあんたが危なくなったら俺っちは身体張って！命張って！守ってみせる！そう決めた！%p…言いてえ事はそれだけだ！だから何してえ欲しいって事もねえんだ！%p…じゃ、じゃあな！これからもよろしくな！,4,親愛度max
96,12,赤松 重吾,おおマスター！俺を使ってくれてありがとうな！この恩義、この感謝、男赤松重吾！必ず返す！見ててくれな！,3,親愛度up
97,13,赤石 斗真,これで…これで僕も…！……ついに…！！美登里、力を取り戻すよ…！,5,変身
98,13,赤石 斗真,僕もね、目的があるんだ。どうしても譲れない目的がね%p僕の妻、美登里は…とある難病を抱えている%p本人にはこのことは伏せている。彼女に余計な心配はかけたくないからね%pそう、彼女は何の気を負う事もないよう、僕は彼女の病を治すつもりだ%pそのためには力が必要なんだ。無論、星宝石に願いを叶えてもらうつもりではない%pこれには、僕自身の力が必要なんだ。だからジュエルマスター、僕に力を貸して欲しい%p…君と共に歩めばきっと僕は力を得ることができると思うんだ%pよろしく頼むよ、ジュエルマスター,4,親愛度max
99,13,赤石 斗真,仲間に加えてくださったこと、感謝していますよ:最初にお会いしたときのこと、覚えていますか？私は一生忘れないと思いますよ,3,親愛度up
100,13,赤石 斗真,宝石か…美しさよりも希少性が値を決めることも多い。不思議なものだよね:僕もいつか力を得てみせる…,2,浄化時
101,13,赤石 斗真,,7,強化ベース
102,13,赤石 斗真,,8,強化素材
103,13,赤石 斗真,玩具の剣や銃なら、扱い慣れてるんだけど…,6,バトル
104,13,赤石 斗真,美登里…待っていろよ…！:僕にも目的がある。力をつける必要があるんだ:このオモチャかい？我が社の目玉商品さ！,1,挨拶
105,14,柏木 珊瑚,あっ、すごい…！光の波が押し寄せてくる…オルカの鳴声が聞こえる…！,5,変身
106,14,柏木 珊瑚,きれいだな…海に反射する太陽の光みたいだ:頭に鬱憤が溜まってるやつらも、あんな風に晴らせたらいいのにね,2,浄化時
107,14,柏木 珊瑚,なあマスター。あんた将来の事って考えてる？%pいや、世界の浄化は私らの目的だけどもさ？その先だってあるじゃない？%p私は泳ぎが得意でさ、大学もそれで推薦がもらえたんだ%pでもさ、それで生きて行けるかどうかは別問題だよね…好きってだけでやれる事じゃないもんね%p……うーんやっぱやめた！世界を救おうって時に出す話題じゃないね！これは！%pこの珊瑚ともあろうものが湿っぽい話をしちゃったよ！ごめんごめん、忘れてくれな？,4,親愛度max
108,14,柏木 珊瑚,不良の喧嘩なら見慣れてるんだけど…:げーっ、まじでやるの？,6,バトル
109,14,柏木 珊瑚,,7,強化ベース
110,14,柏木 珊瑚,,8,強化素材
111,14,柏木 珊瑚,普通の生活に戻ったら、一緒に泳ぎにいかない？,3,親愛度up
112,14,柏木 珊瑚,泳いでいると、嫌なことも忘れられるんだ:バカ重吾とは幼馴染なんだよ,1,挨拶
113,15,斑 王石,羊達(ファン)は俺達の神話を求めている！さあ帰ろう！今直ぐ！:今日はNODOの調子がいいなァ:Oh〜異次元loneliness〜…ハァ、臣司ィ…:俺の歌で扉は開いた。天魔を魅了する声か。フフ…超帰りたいぜ,1,挨拶
114,15,斑 王石,穢れた世界を救う歌だ…聴いてください、『救世主(メシア)』！:傷ついた君のHeart癒してあげよう・・:俺はインドア派なので戦わないぞ。やめろ。やめるんだ,2,浄化時
115,15,斑 王石,なんかお前とはリズムがあうよ。メンバー以外でそんなヤツ、いないんだけどな,3,親愛度up
116,15,斑 王石,,7,強化ベース
117,15,斑 王石,,8,強化素材
118,15,斑 王石,愚かな盲目の羊たちよ…！俺のことは、見るんじゃない！,6,バトル
119,15,斑 王石,歌を歌ったら世界が変わった。なら今度は俺が変わる番ということだろ？行くぞぉお！！！オーオーーオーー変身ーーー！,5,変身
120,15,斑 王石,歌を歌った拍子に異次元の扉が開いた日は、正直失禁するかと思った…%pけれど今は悪くない気分さ。俺だってアーティストだ。この世界は創作意欲を刺激するのさ%p俺たちのこの旅を、詩に曲に編纂するのも良いかもしれないな！%p迷える子羊達も、きっと気に入ってくれる…！,4,親愛度max
121,16,契 千鶴,あぁ！ その光を見るとブラッドミストが目覚めてしまいそう……:浄化されるたびブラッドミストが騒ぐんです……！ わ、私、怖い……。,2,浄化時
122,16,契 千鶴,あ…っ、イヤッ…ダメよ…ちからが、力が溢れちゃう。来ちゃだめっブラッドミスト…！わ、私、もう…！,5,変身
123,16,契 千鶴,こ、来ないでください！！ あなたを私、襲いたくない……！ %p……って、あ、あれ？！ 今日は出てこない！？ お、おかしいなぁ、ブラッドミストさーん？もしもーし %pえーっと、ブラッドミストは本当にほんとにいるんですよ！ お願い、あなただけは私を信じて！%p本当に私、邪気眼なんかじゃないんです！！！,4,親愛度max
124,16,契 千鶴,だ、だめ！静まれブラッドミスト…！わ、私に近づかないで…:ブラッドミストが暴れる前に、早くいきましょう……！,1,挨拶
125,16,契 千鶴,だめよ、血の匂いなんか嗅いでしまったら、私は…！,6,バトル
126,16,契 千鶴,,7,強化ベース
127,16,契 千鶴,,8,強化素材
128,16,契 千鶴,私が怖くないんですか……？ あなたみたいな人は初めて……:あなたといるときは、ブラッドミストが穏やかなんです……。なぜかしら？:あ、あまり私にかまわないでください！！貴方を傷つけたくないの！,3,親愛度up
129,17,皇 光,雑魚が…。変身するまでもないよ！:力を試すには、いい機会だね…！,6,バトル
130,17,皇 光,待っていたよ。運命を切り拓くダイヤモンドよ、その力を示せ！我が名は皇光！お前を統べる者だ！,5,変身
131,17,皇 光,,7,強化ベース
132,17,皇 光,,8,強化素材
133,17,皇 光,大衆に必要なのは指導者だ。君ならそれができるかも知れない:このモザイク状の世界は、人々の欲望の反映か…秩序が必要だね:僕には力がある。期待していい,1,挨拶
134,17,皇 光,浄化か。これは君にしか無い力だね。見事だよ:星の光。これが世界を変革し得る力になるか…?:障壁は失われた。行こう,2,浄化時
135,17,皇 光,君か。旅の進捗は順調かい？%p急がねばならないね、力を持ったものは使命を果たす義務がある。例え理解を得られなかったとしてもね…%pでも安心していい。僕は君の味方だよ。ずっとね,4,親愛度max
136,17,皇 光,君は見所があるよ。ある面において、君は僕よりも優秀だ,3,親愛度up
137,18,三輝 栄太郎,バトル三輝 栄太郎,6,バトル
138,18,三輝 栄太郎,変身三輝 栄太郎,5,変身
139,18,三輝 栄太郎,,7,強化ベース
140,18,三輝 栄太郎,,8,強化素材
141,18,三輝 栄太郎,挨拶三輝 栄太郎,1,挨拶
142,18,三輝 栄太郎,浄化時三輝 栄太郎,2,浄化時
143,18,三輝 栄太郎,親愛度max三輝 栄太郎,4,親愛度max
144,18,三輝 栄太郎,親愛度up三輝 栄太郎,3,親愛度up
145,19,金剛寺 貴南,いいわ。ハンデがある方が、面白いかもしれないもの…,6,バトル
146,19,金剛寺 貴南,私の守護石はダイヤモンドか。過分な力ばかり得ても面白く無いのだけど………試してみるか。行くわ,5,変身
147,19,金剛寺 貴南,,7,強化ベース
148,19,金剛寺 貴南,,8,強化素材
149,19,金剛寺 貴南,御機嫌よう。ジュエルマスター:退屈ね…。異世界でも結局同じ事なのかしら…,1,挨拶
150,19,金剛寺 貴南,貴方を守ればいいのね?良いわよ、退屈しのぎにもならなそうだけど…:浄化か、美しい光だわ。私にはない光ね…,2,浄化時
151,19,金剛寺 貴南,貴方はこの広大な世界の全てを、本当に浄化できると思って？%pだとするならば、無謀と言わざるを得ないわ%pけれど、私はそれを否定しない。不可能への挑戦、それこそが私の求めるものよ%p退屈しのぎと言えば貴方は不愉快に思うでしょうけど、その無謀。私も乗るわ。…本気でね,4,親愛度max
152,19,金剛寺 貴南,貴方たちなら、私の退屈を晴らしてくれるかもしれないわね。期待してるわ…,3,親愛度up
153,20,見嶋 千里,ヒヒッハハ！荒事は得意じゃねえのに、アンタは人遣いが荒いねぇ。,6,バトル
154,20,見嶋 千里,いよいよ変身かぁ、ヒヒッハハ！楽しみだなぁ楽しみだなぁ！覗き屋千里の願い、叶えてくれよロッククリスタルよぉ！,5,変身
155,20,見嶋 千里,,7,強化ベース
156,20,見嶋 千里,,8,強化素材
157,20,見嶋 千里,ここは退屈しなくて良いなぁ。中を視たくなる奴らばっかりだ！:俺を連れていけよぉ。退屈はさせないぜぇ?:御機嫌ようお前たち？ヒヒッハハ！嫌そうな顔だなぁ〜,1,挨拶
158,20,見嶋 千里,見せてもらうぜぇあんたの浄化ってやつの、全てをさぁ:石の力の操作…変身も強化もあんたの思いのままか、なるどねぇ〜:ここで見ててやるさ。アンタの全てをよォ,2,浄化時
159,20,見嶋 千里,お、酔狂マスターがきたね〜。アンタさぁ、何で浄化なんて事やってんのよ？目的・世界平和とか？ヒヒッハハ！まさかねぇ〜？%pいや言わんでもいいぜ。選んだ言葉なんてよぉ、美味しいところは全部抜けちまってるからなあ%pあんたが何者で、何をしようとするのか、この千里が穴が開くまで視てやるからよぉ！ヒヒッハハ！よろしくなあ！,4,親愛度max
160,20,見嶋 千里,よくもまあここまでオモロイ連中集めたよなあ。退屈しなくてサイコーだよなあ。ヒヒッハハ！,3,親愛度up
161,21,国代 伊依,,8,強化素材
162,21,国代 伊依,ロッククリススタル、機能上昇。通常値を遥かに 上回ります。…国代伊依 変身します,5,変身
163,21,国代 伊依,,7,強化ベース
164,21,国代 伊依,本日の 伊依の稼働率は 良好です。 如何なさいますか?:問題ありません 行きましょう:良好な結果を 約束します,1,挨拶
165,21,国代 伊依,状況を分析。生身では不利と判断 しかし 最善を尽くします,6,バトル
166,21,国代 伊依,索敵中。問題無し。索敵中。問題なし:……眠気により 機能低下が認められます:多数の星喰いを 確認。 駆除します ,2,浄化時
167,21,国代 伊依,マスター。あなたは 伊依を どう思って いますか？%pこのロッククリスタルを外すと 私の機能は 停止します。 それ故に 父と母は 私を人形と 認識するようです%p母は 私の写真に呼びかける時のみ 伊依 と口にします。 私は 国代伊依でしょうか？%p…そうですか。 了解です。しかし やはり私を 機械的 と思う方は 多いようです%p引き続き 人間らしい振る舞い その調査分析を 続けます。 お付き合い頂き ありがとうございました。マスター,4,親愛度max
168,21,国代 伊依,マスター。あなたは 伊依に 何を 求めますか？可能な範囲であれば 応えましょう,3,親愛度up
169,22,真宵 星加,星よ私を導きたまえ！万物を、星の命を、時を越える道標を視る目を授けたまえ！………変身！,5,変身
170,22,真宵 星加,あなたの運命は視ることが難しいわ。多くの眩く星たちが寄り添うように重なっているから:私には見えます…あなたの曇りなき心が…,3,親愛度up
171,22,真宵 星加,貴方から力強い気の流れを感じます:浄化の光…この閉ざされた目にすら届くわ…,2,浄化時
172,22,真宵 星加,私は星の光、星の声を聞くことができます…%pけれど、それは標にしか過ぎません。真に運命を決するのは、その人間の意志に他ならないのです%p私のような力を持つ者の中にも、それを忘れ力に意志を委ねてしまう者達が居ます%p【星詠み】という者達をご存知でしょうか？彼らは人としての意志を捨ててしまった存在と言えます%pしかし彼らの動きには、何か大きな意図も感じます。マスター、星詠みにお気をつけください%pおそらく、彼らが私達の前に立ち塞がる日はそう遠くはないでしょうから…,4,親愛度max
173,22,真宵 星加,,7,強化ベース
174,22,真宵 星加,,8,強化素材
175,22,真宵 星加,私の力で、お役に立てることがあれば…:この戦いの結末がどうなるか…占う必要もありませんね,6,バトル
176,22,真宵 星加,視えるわ…星の瞬きが視える…:貴方は何を占いたいですか…?,1,挨拶
177,23,風間 葉一,僕が変身を…？わかりました。やります。やってみせますよ…！変身だ…！,5,変身
178,23,風間 葉一,うっ…冗談じゃないよ！生身なんだぜこっちは！,6,バトル
179,23,風間 葉一,この世界って本当に…わけわかんないよ%p戦いも…あの星喰いとかいう怪物も…。ジュエルマスターさん、よく正気でいられますね？%pでもね、俺らはまだ高校生ですよ？普通なら、のほほんと平和な学生生活送ってるハズですよ？%pそれに女子やら子供やらが混じってるし、おかしくないですか？そういうのって？%p別に…俺に力があれば良いですけど…かわりに戦ってやれるけど！…そんな力は無いんだ…%pくそ、歯がゆいなあ…,4,親愛度max
180,23,風間 葉一,マスターさん、あなたのこと…信じていいんですよね？,3,親愛度up
181,23,風間 葉一,何度見てもよくわからない…これは一体、どういうことなんだ…?:僕らがあの黒いのと戦うんですか?マジで?無茶でしょそれ?:うわ！寄るな！しっし！…ハアハア。ほ、ほんとに俺らじゃなきゃダメなの?,2,浄化時
182,23,風間 葉一,,7,強化ベース
183,23,風間 葉一,,8,強化素材
184,23,風間 葉一,星宝石って何なんですかね?一体何処から来たものなのか…え?流れ星なの?:ジュエルマスターさんは、どこまで旅を続けるつもりなんですか?:子供が戦いに出されてるって変じゃないのかな…,1,挨拶
185,24,美鳥 宗助,（銃は使えないな）…皆！無事に切抜ける事が最優先だ、無理をするな！,6,バトル
186,24,美鳥 宗助,合成エメラルド…この輝きに何人が犠牲になった？それが何故だ、何故俺に、力を貸す…！？,5,変身
187,24,美鳥 宗助,,7,強化ベース
188,24,美鳥 宗助,,8,強化素材
189,24,美鳥 宗助,異世界か。全く夢のような話に巻き込まれてしまったな:ん、地質を調べてたんだ。元々考古学畑でね、まあ…未練かな,1,挨拶
190,24,美鳥 宗助,…あれが浄化…信じがたい光景だな:星宝石の力を難なく操る…か。驚愕すべき能力だな…,2,浄化時
191,24,美鳥 宗助,やあ、ジュエルマスター君。私に何の用だい？私はただの地質調査員だよ？%pはは…いや、さすがに三文芝居が過ぎるか。何時までも白は切れないな%p…私達の素性については、いずれ時がくれば話す、それまで待っていて欲しい%p…赤堂と由良木…、私と同じ地質調査員を名乗る人間には気をつけてくれ…,4,親愛度max
